,Parameter       ,UMS Affiliation,UMS Intimacy,UMS,Prestige,Leadership,Dominance,DoPL,Realism,Justification,SJS,SRPS,SSES,Spite
1,Spite,            -0.20* ,       -0.29*** ,  -0.25** ,0.06,-0.03,     0.48*** ,   0.24* ,     0.22* ,-0.14,0.18,-0.16,0.08,1
2,SSES,          -0.34*** ,        -0.27** , -0.36*** ,-0.06,      -0.27** ,-0.19, -0.25** ,0.17,-0.12,   0.22* , -0.38*** ,1,
3,SRPS,            0.28** ,         0.25** ,  0.30*** ,     0.26** ,       0.28** ,0.07,  0.27** ,-0.12,0.12, -0.25** ,1,        ,
4,SJS,-0.06,-0.05,-0.06,-0.01,-0.08,      0.23** ,0.07,0.17,          -0.19* ,1,          ,        ,
5,Justification,0.03,0.13,0.06,0.08,-0.05,-0.06,-0.02,-0.19,1,         ,          ,        ,
6,Realism,-0.16,-0.17,-0.18,-0.09,-0.12,0.07,-0.06,1,                 ,         ,          ,        ,
7,DoPL,            0.29** ,0.03,   0.25** ,    0.64*** ,      0.76*** ,     0.69*** ,1,           ,                 ,         ,          ,        ,
8,Dominance,0.06,         -0.19* ,4.75E-04,0.18,       0.29** ,1,         ,           ,                 ,         ,          ,        ,
9,Leadership,            0.29** ,0.08,   0.27** ,    0.35*** ,1,             ,         ,           ,                 ,         ,          ,        ,
10,Prestige,            0.30** ,         0.24** ,  0.31*** ,1,              ,             ,         ,           ,                 ,         ,          ,        ,
11,UMS,           0.97*** ,        0.68*** ,1,            ,              ,             ,         ,           ,                 ,         ,          ,        ,
12,UMS Intimacy,           0.51*** ,1,          ,            ,              ,             ,         ,           ,                 ,         ,          ,        ,
13,UMS Affiliation,1,,,,,,,,,,,,
