"","X.2","X.1","X","id","Age","Gender","Ethnicity","Ethnic_Origin","Education","ethicalQuestionsRiskSum","financialQuestionsRiskSum","healthAndSafetyQuestionsRiskSum","recreationalQuestionsRiskSum","socialQuestionsRiskSum","ethicalQuestionsBenefitSum","financialQuestionsBenefitSum","healthAndSafetyQuestionsBenefitSum","recreationalQuestionsBenefitSum","socialQuestionsBenefitSum","ethicalQuestionsPerceptionSum","financialQuestionsPerceptionSum","healthAndSafetyQuestionsPerceptionSum","recreationalQuestionsPerceptionSum","socialQuestionsPerceptionSum","dominance_Sum","leadership_Sum","prestige_Sum","PNI_Sum","grandiosity_Sum","vulnerability_Sum","cse_Sum","devaluing_Sum","entitlement_rage_Sum","hts_Sum","exploitativeness_Sum","grandiose_fantasy_Sum","ssse_Sum","ethicalPreference","financialPreference","socialPreference","healthAndSafetyPreference","recreationalPreference","ethicalPreference_z","socialPreference_z","recreationalPreference_z","healthAndSafetyPreference_z","financialPreference_z","riskPerceptionSum_z","riskSum_z","generalRiskPreference","generalExpectedBenefits","generalPerceievedRisk","riskBenefitSum","riskSum","riskPerceptionSum","generalRiskPreference_z","generalExpectedBenefits_z","generalPerceievedRisk_z","UMSSum","UMSIntimacySum","UMSAffiliationSum","UMSSum_z","UMSAffiliationSum_z","UMSIntimacySum_z","PNI_Sum_z","grandiosity_Sum_z","vulnerability_Sum_z","cse_Sum_z","devaluing_Sum_z","entitlement_rage_Sum_z","hts_Sum_z","exploitativeness_Sum_z","grandiose_fantasy_Sum_z","ssse_Sum_z","dominance_Sum_pre","prestige_Sum_pre","leadership_Sum_pre"
"1",1,1,1,3461667,31,2,2,4,3,-1.18333742464862,-0.834038689899118,-0.576982269969612,0.427056901777677,-0.900583501724031,-1.18333742464862,-0.834038689899118,-0.576982269969612,0.427056901777677,-0.900583501724031,-1.18333742464862,-0.834038689899118,-0.576982269969612,0.427056901777677,-0.900583501724031,-1.18025422984558,-0.527513087258205,-2.75370716560214,49,30,19,3,4,4,8,11,13,6,14,36,30,22,36,-1.18333742464862,-0.900583501724031,0.427056901777677,-0.576982269969612,-0.834038689899118,0.634665554996019,-0.844972345533745,6.70574957569163,36.4789951273981,-29.7732455517065,69,82,143,-1.00399834463653,-0.911346007733084,-0.634665554996017,39,29,10,-1.17487367188455,-1.18998081843778,-1.02873007534689,-2.27303324509693,-1.65861511370436,-2.21683462002353,-1.72109859620587,-1.87118746240413,-1.80977858832864,-1.85348921070345,-0.639965057336025,-0.74115952657542,-2.39797069324798,10,11,19
"2",2,2,188,1933477,28,2,1,3,5,0.847449485823179,0.608338060385194,0.54063084009217,0.83505506579007,-0.900583501724031,0.847449485823179,0.608338060385194,0.54063084009217,0.83505506579007,-0.900583501724031,0.847449485823179,0.608338060385194,0.54063084009217,0.83505506579007,-0.900583501724031,0.0594416720119528,-0.907690848399404,0.166738232045634,73,26,47,7,13,10,17,9,8,9,34,54,30,32,40,0.847449485823179,-0.900583501724031,0.83505506579007,0.54063084009217,0.608338060385194,-1.04716393351285,0.131381750749361,27.5304113723846,50.2247034362728,-22.6942920638882,95,100,109,0.903637240666525,0.599987892533176,1.04716393351285,39,31,8,-1.17487367188455,-1.95591502006031,-0.753576913130092,-1.15043579508323,-2.08234087534906,-0.332327240547702,-0.63803382907795,0.150814444414791,-0.507639139298823,-0.170792723080527,-1.13185309342675,-1.81106513686661,-1.64795605001349,17,25,17
"3",3,3,375,6475385,22,2,1,3,4,0.23821341268164,1.89045072730458,1.21119870612924,1.65105139381486,-1.11711314564936,0.23821341268164,1.89045072730458,1.21119870612924,1.65105139381486,-1.11711314564936,0.23821341268164,1.89045072730458,1.21119870612924,1.65105139381486,-1.11711314564936,-1.0031548152945,0.232842435024195,0.375341474734761,67,36,31,9,10,4,8,13,11,12,28,70,28,38,48,0.23821341268164,-1.11711314564936,1.65105139381486,1.21119870612924,1.89045072730458,-0.354645908832726,0.511075010415012,30.4310401483498,56.0401954131043,-25.6091552647545,106,107,123,1.16934828686772,1.23939838879967,0.354645908832729,47,35,12,-0.286901154919175,-0.424046616815243,-0.203270588696494,-1.43108515758666,-1.02302647123732,-1.40918860024818,-0.0965014455139923,-0.523186191191517,-1.80977858832864,-1.85348921070345,-0.148077021245304,-1.1691217706919,-0.897941406779006,11,26,23
"4",4,4,562,2492205,19,2,1,3,3,0.23821341268164,-0.673774606534195,0.764153462104526,1.24305322980246,-0.467524213873374,0.23821341268164,-0.673774606534195,0.764153462104526,1.24305322980246,-0.467524213873374,0.23821341268164,-0.673774606534195,0.764153462104526,1.24305322980246,-0.467524213873374,0.0594416720119528,-2.998668534676,-0.0418650106434924,79,37,42,12,13,4,13,15,12,10,28,38,34,34,44,0.23821341268164,-0.467524213873374,1.24305322980246,0.764153462104526,-0.673774606534195,-0.799836067555662,0.131381750749361,23.3173022678294,47.0526169034555,-23.7353146356261,89,100,114,0.517696910346723,0.25121853093327,0.799836067555664,63,48,15,1.48904387901157,0.724854685618557,1.5852249657127,-0.869786432579812,-0.917095030826148,-0.668846415454101,0.715797129831944,0.150814444414791,-1.80977858832864,-0.918657828690715,0.343811014845417,-0.955140648633658,-1.39795116893533,17,24,6
"5",5,5,749,8374150,29,2,1,3,3,0.0351347216344602,0.127545810290423,0.764153462104526,0.427056901777677,-0.0344649260227169,0.0351347216344602,0.127545810290423,0.764153462104526,0.427056901777677,-0.0344649260227169,0.0351347216344602,0.127545810290423,0.764153462104526,0.427056901777677,-0.0344649260227169,-0.294757157090199,-1.09777972897,-0.459071496021746,77,38,39,6,10,10,13,9,15,14,26,48,38,34,36,0.0351347216344602,-0.0344649260227169,0.427056901777677,0.764153462104526,0.127545810290423,-0.255714762449852,0.131381750749361,22.0844147876116,48.1099790810613,-26.0255642934497,91,100,125,0.404758700213984,0.367474984799905,0.255714762449854,43,30,13,-0.730887413401861,-0.0410795160039764,-0.891153494238491,-0.963336220080953,-0.811163590414974,-0.87075792039794,-0.908800020859929,-0.523186191191517,-0.507639139298823,-0.918657828690715,-1.13185309342675,-0.313197282458944,-0.397931644622681,15,22,16
"6",6,6,936,1629145,35,1,4,7,4,-0.980258733601438,-0.513510523169271,0.0935855960674572,0.631055983783874,-0.900583501724031,-0.980258733601438,-0.513510523169271,0.0935855960674572,0.631055983783874,-0.900583501724031,-0.980258733601438,-0.513510523169271,0.0935855960674572,0.631055983783874,-0.900583501724031,-1.53445305894773,-2.998668534676,-3.17091365098039,74,25,49,4,15,10,20,7,10,8,16,40,30,28,38,-0.980258733601438,-0.900583501724031,0.631055983783874,0.0935855960674572,-0.513510523169271,1.17878686010183,-1.60435886486505,8.11626753948815,40.1797627490182,-32.0634952095301,76,68,154,-0.874788358528872,-0.50444841919986,-1.17878686010183,20,14,6,-3.28380839967731,-2.72184922168284,-3.09237879197288,-1.10366090133266,-2.18827231576023,-0.197719570585143,-1.45033240442389,0.600148201485662,-0.507639139298823,0.390106106127113,-1.62374112951747,-1.38310289275013,-1.89796093109166,8,9,6
"7",7,7,1123,7145518,26,2,4,7,4,-0.371022660459899,3.17256339422397,-0.129937025944899,-0.184940344240912,-0.467524213873374,-0.371022660459899,3.17256339422397,-0.129937025944899,-0.184940344240912,-0.467524213873374,-0.371022660459899,3.17256339422397,-0.129937025944899,-0.184940344240912,-0.467524213873374,-0.294757157090199,1.37337571844779,-0.0418650106434924,82,44,38,8,10,9,11,9,15,20,22,86,34,26,30,-0.371022660459899,-0.467524213873374,-0.184940344240912,-0.129937025944899,3.17256339422397,1.17878686010183,0.782284481604764,20.2759325819542,52.3394277914843,-32.0634952095301,99,112,154,0.239093344176978,0.832500800266447,-1.17878686010183,69,55,14,2.1550232667356,0.34188758480729,2.5482610334715,-0.729461751328101,-0.175574947947931,-0.938061755379219,-0.367267637295971,-0.523186191191517,-0.724662380803793,-1.29259038149581,-1.13185309342675,-0.313197282458944,1.10209764184629,15,24,29
"8",8,8,1310,6438556,23,2,1,3,2,-0.980258733601438,-0.0327182730745002,-0.576982269969612,-0.796937590259501,0.39859436182794,-0.980258733601438,-0.0327182730745002,-0.576982269969612,-0.796937590259501,0.39859436182794,-0.980258733601438,-0.0327182730745002,-0.576982269969612,-0.796937590259501,0.39859436182794,-1.0031548152945,-2.2383130123936,-0.250468253332619,77,37,40,8,12,10,10,11,12,14,16,46,42,22,24,-0.980258733601438,0.39859436182794,-0.796937590259501,-0.576982269969612,-0.0327182730745002,0.486268835421707,0.185623644987311,10.5024496515516,39.6510816602153,-29.1486320086637,75,101,140,-0.65620301224926,-0.562576646133178,-0.486268835421705,44,34,10,-0.61989084878119,-1.18998081843778,-0.340847169804893,-0.963336220080953,-0.917095030826148,-0.80345408541666,-0.367267637295971,-0.0738524341206452,-0.507639139298823,-1.47955665789835,-0.639965057336025,-0.955140648633658,-0.397931644622681,11,23,10
"9",9,9,1497,2194495,27,2,1,3,4,-0.777180042554259,-0.513510523169271,-0.353459647957256,0.223057819771481,-1.11711314564936,-0.777180042554259,-0.513510523169271,-0.353459647957256,0.223057819771481,-1.11711314564936,-0.777180042554259,-0.513510523169271,-0.353459647957256,0.223057819771481,-1.11711314564936,-0.826055400743426,-0.337424206687605,-1.29348446677825,93,45,48,10,14,9,15,17,15,13,18,40,28,24,34,-0.777180042554259,-1.11711314564936,0.223057819771481,-0.353459647957256,-0.513510523169271,-0.057852469684103,-0.465279085868093,11.2066560429666,38.0650383938067,-26.8583823508401,72,89,129,-0.5916944413646,-0.736961326933131,0.0578524696841043,47,34,13,-0.286901154919175,-0.0410795160039764,-0.340847169804893,-0.214937920071826,-0.0696435075367576,-0.265023405566423,0.174264746267987,0.375481322950227,-0.724662380803793,-0.544725275885621,0.835699050936138,-0.313197282458944,-0.647936525700844,12,18,20
"10",10,10,1684,4078277,36,2,4,7,4,-1.18333742464862,-1.79562319008866,-1.02402751399432,-1.0009366722657,-0.684053857798703,-1.18333742464862,-1.79562319008866,-1.02402751399432,-1.0009366722657,-0.684053857798703,-1.18333742464862,-1.79562319008866,-1.02402751399432,-1.0009366722657,-0.684053857798703,-0.64895598619235,0.803109076735994,1.20975444549127,133,55,78,13,15,21,29,14,23,18,14,24,32,18,22,-1.18333742464862,-0.684053857798703,-1.0009366722657,-1.02402751399432,-1.79562319008866,1.62397701882476,-1.7670845475789,-4.85987595450052,29.0774598841579,-33.9373358386584,55,65,163,-2.06346327343494,-1.72514118479953,-1.62397701882476,52,36,16,0.268081668184183,1.10782178642982,-0.0656940075880943,1.65605782995099,0.98967089657498,1.75409164387197,0.986563321613923,0.600148201485662,1.87961651725585,2.07280259375003,0.0978669968000567,1.39865169400696,0.60208787968997,13,30,26
