"","X","data_1","data_2","data_3","data_4","data_5","data_6","data_7","data_8","data_9","data_10","data_11","data_12","data_13","data_14","data_15","data_16","data_17","data_18","data_19","data_20","data_21","data_22","data_23","data_24","data_25","data_26","data_27","data_28","data_29","data_30","data_31","data_32","data_33","data_34","data_35","data_36","data_37","data_38","data_39","data_40","data_41","data_42","data_43","data_44","data_45","data_46","data_47","data_48","data_49","data_50","data_51","data_52","data_53","data_54","data_55","data_56","data_57","data_58","data_59","data_60","data_61","data_62","data_63","data_64","data_65","data_66","data_67","data_68","data_69","data_70","data_71","data_72","data_73","data_74","data_75","data_76","data_78","data_79","data_80","data_81","data_82","data_83","data_84","data_85","data_86","data_87","data_88","data_89","data_90","data_91","data_92","data_93","data_94","data_95","data_96","data_97","data_98","data_99","data_100","data_101","data_102","data_103","data_104","data_105","data_106","data_107","data_108","data_109","data_110","data_111","data_112","data_113","data_114","data_115","data_116","data_117","data_118","data_119","data_120","data_121","data_122","data_123","data_124","data_125","data_126","data_127","data_128","data_129","data_130","data_131","data_132","data_133","data_134","data_135","data_136","data_137","data_139","data_140","data_141","data_142","data_143","data_144","data_145","data_146","data_147","data_148","data_149","data_150","data_151","data_152","data_153","data_154","data_155","data_156","data_157","data_158","data_159","data_160","data_161","data_162","data_163","data_164","data_165","data_166","data_167","data_168","data_169","data_170","data_171","data_172","data_173","data_174","data_175","data_176","data_177","data_178","data_179","data_180","data_181","data_182","data_183","data_184","data_185","data_186","data_187","data_188","data_189","data_190","data_191","data_192","data_193","data_194","data_195","data_196","data_197","data_198","data_199","data_200","data_201","data_202","data_203","data_204","data_205","data_206","data_207","data_208","data_209","data_210","data_211","data_212","data_213","data_214","data_215","data_216","data_217","data_218","data_219","data_220","data_221","data_222","data_223","data_224","data_225","data_226","data_227","data_228","data_229","data_230","data_231","data_232","data_233","data_234","data_235","data_236","data_237","data_238","data_239","data_240","data_241","data_242","data_243","data_244","data_245","data_246","data_247","data_248","data_249","data_250","data_251","data_252","data_253","data_255","data_256","data_257","data_258","data_260","data_261","data_262","data_264","data_266","data_267","data_268","data_269","data_270","data_271","data_272","data_273","data_274","data_275","data_276","data_277","data_278","data_279","data_280","data_281","data_282","data_284","data_285","data_286","data_287","data_288","data_289","data_290","data_291","data_292","data_293","data_294","data_295","data_296","data_297","data_298","data_299","data_300","data_301","data_302","data_303","data_304","data_305"
"1",1,10,5,10,1,6,9,3,3,7,3,7,7,4,3,5,8,19,13,3,3,4,6,2,2,5,8,6,3,5,3,4,37,3,3,2,4,2,2,3,2,22,8,3,4,1,22,3,5,7,6,3,13,10,2,7,2,3,12,7,3,2,5,1,32,6,3,13,50,8,2,4,6,4,2,7,7,18,3,2,3,4,15,9,7,2,3,4,4,3,10,2,12,9,3,8,5,6,60,7,5,4,11,10,3,6,13,4,4,13,5,5,3,1,3,8,3,6,1,8,6,1,3,11,13,6,3,6,3,4,3,6,2,1,6,2,3,3,3,4,4,3,17,4,11,7,19,36,12,4,15,2,3,51,3,4,4,4,5,270,7,2,2,9,2,7,8,4,2,6,2,3,2,5,9,10,6,3,17,11,13,4,7,7,13,3,4,7,13,5,7,3,3,6,4,7,2,5,6,3,90,2,5,5,2,4,3,3,2,19,4,4,57,7,3,5,10,5,3,3,15,3,11,17,22,5,4,5,4,5,8,3,2,16,8,9,4,5,11,9,14,3,4,6,5,3,26,12,8,8,6,5,2,21,110,8,3,1,3,2,3,3,5,13,3,2,3,3,3,4,5,4,2,4,5,8,4,10,16,3,6,3,5,3,7,9,4,4,7,3,5,6,2,9,21,4,4,4,7
"2",2,63857,13095,4799,4400,5115,25560,3642,3357,13339,2993,6012,25984,24052,2826,7058,3505,2807,13408,3393,4001,5969,3417,3832,3529,6070,82851,4066,6561,2832,2392,4798,83567,2906,6020,7498,4088,120307,22390,149806,4595,3663,3748,12176,3110,3164,7511,4873,3555,5404,3178,4573,27976,11252,2438,5197,3150,9628,5774,3763,5147,651112,15188,3122,61157,3513,2982,5946,3006,2503,4806,2107,5804,3450,78504,33954,5654,4421,2573,3905,13601,3734,3596,2503,3707,6022,5383,16425,20956,35800,3361,9138,4565,3756,10856,4060,12853,3652,2454,8474,3586,12800,2889,3027,5972,5555,8632,69801,7140,4006,5071,129004,2989,7673,44267,3153,3566,3030,7239,2418,53843,2176,13897,4845,4593,294512,2666,3757,2827,18718,2811,4397,3435,3549,27303,15854,3843,3830,3469,4382,2394,35118,6253,3339,42082,3281,5077,6363,5652,158830,3867,5375,14921,5827,8832,4198,3908,3980,9105,3565,6845,15995,7628,4240,12940,9996,9761,5413,5843,3610,8029,103438,3365,4220,3651,26013,104744,36986,6983,3949,7274,9977,8498,2931,4381,3831,26763,4365,21514,120298,3253,6462,4196,5808,6133,7213,2398,4840,7753,3953,23777,4449,8147,3503,4408,35791,556422,405611,6327,235954,79379,6399,18220,5809,3232,47575,18326,3848,5147,2601,4876,20959,4144,2319,8036,5821,3544,48694,827650,7233,3593,49907,3579,8134,143461,4202,2086,64581,6353,24053,3226,74985,2567,21240,7124,4033,43073,2427,5068,58262,27545,7331,2121,7519,11782,51717,25980,2100,5475,14054,1396484,2731,6047,4307,8086,3390,4354,2328,2521,5378,7338,14275,1818,6245,2580,5437,9758,7244,3330,2485,8992,6142,4442,8969,8012,7834,5353,5414,2395,445485,6167,23317,9358,4098,5273,3625,48845,2548,47380
"3",3,67529,20307,7416,11405,8096,28278,6337,5763,17259,5997,10430,28565,27399,5493,9745,6746,14090,18143,9047,9514,11851,5741,6998,7929,8149,85636,7129,10159,6589,4617,8149,115179,6779,8644,9846,7166,123248,26185,153516,8426,5947,7861,20038,8253,6947,13615,9456,6949,11051,5402,8613,31621,13893,5279,19671,6565,13821,11090,7527,10922,653895,18916,10403,66987,5871,5943,8869,5056,5659,6988,4558,8249,5732,80733,214643,10841,11192,5177,10097,18298,7258,5676,5117,5728,8798,7622,22019,24456,38053,6548,12807,9815,6744,13325,8242,15483,9259,7115,24475,7286,19544,6850,5466,8539,8933,14465,74479,13259,9586,12400,132330,5521,11741,47755,6628,7163,5296,12497,4349,56675,3759,16012,8960,8395,297643,5833,7850,4577,31317,7118,6957,6066,6468,31744,20217,13160,6941,5312,8791,4462,38125,9887,6876,44798,6460,9290,10960,11441,161058,6211,7959,18522,10860,15581,9579,6166,7421,13542,8220,10213,18555,12430,8768,18882,13936,12500,9575,11233,6593,16361,106541,5948,8730,9419,28870,107814,41875,17198,7938,9627,19943,15105,7930,8403,7926,29153,8610,25371,123600,7532,9344,13397,9018,9819,11174,4442,8011,13289,8942,30190,6511,14696,6704,8032,40575,558511,414024,8526,238348,83138,11959,22640,9729,5609,53273,22725,10534,9403,5937,8382,26234,7600,4935,25864,9327,7515,51974,831834,12686,7971,53301,5911,16447,147699,7110,4340,73496,21285,29882,7241,78126,4730,24726,11473,6873,49149,13816,8391,64633,30589,16558,3688,14751,24263,54451,28740,4312,9837,17609,1403889,4917,11163,8223,10875,5434,7976,4725,4581,11865,10166,18501,4016,9951,4767,18277,13463,9990,6897,5193,12660,15064,10347,14054,13981,14476,10693,8613,4349,458824,10237,31083,12164,7052,11371,7835,51761,7698,51212
"4",4,72114,27366,10698,12660,10544,31051,9287,7921,19852,8185,13569,31706,29577,8078,12245,8437,16607,24745,12955,12718,14007,7930,9091,12743,10896,87341,8873,12355,8180,6408,10530,127097,9646,10247,14016,11320,126255,32990,156813,15083,9171,9990,29394,12148,27907,21959,19087,9411,15728,7125,12833,33441,16455,6496,23679,8679,18417,16079,10774,16009,655651,26921,16188,70683,9101,8582,11842,6775,8756,9087,5718,12165,7906,82434,216637,13160,13516,7480,13506,21049,9219,6951,6946,9567,10767,9843,31090,26457,42179,9422,16271,16043,8766,15910,12519,17478,11505,8247,27018,10349,21441,9835,7057,11417,10573,21028,77137,19105,12287,15714,134542,7477,13882,51247,8345,9823,6234,16266,6755,58785,4652,17686,11698,10816,300649,9911,11287,5667,37989,10277,10678,8568,9685,35435,22062,19034,8315,6896,12898,7790,39919,12929,9991,47833,11580,12675,13066,16983,163115,8453,10039,21168,17712,19927,14795,9446,9967,19242,11939,13237,21790,18502,12138,21087,70297,14563,17079,16568,9742,18898,108756,8479,12452,15516,32262,110978,48187,22933,11733,14457,25082,21639,11994,24434,10341,33548,12034,32567,126030,11489,14585,18821,72363,102061,14163,8983,10385,16383,13051,36347,8421,26400,10618,11623,45158,560740,417684,11181,241718,85517,17758,24922,26480,7477,57472,25887,15015,85863,7644,11436,28227,9997,7633,31289,11987,10013,55259,835142,18251,13117,56179,8124,20690,151156,28082,7017,79567,24504,35526,9191,81476,6691,29195,16780,24219,61096,16513,14194,69270,33413,22753,4792,20142,34174,57983,106040,6759,12198,20942,1406291,7085,16926,10837,14207,7276,11217,5743,6845,14128,12801,22461,13703,12668,6719,21230,15766,12623,9252,7018,47313,18936,14135,19979,19328,20289,13164,11518,5712,462787,12598,42486,14775,12182,20272,11087,53512,10367,129929
"5",5,113637,114474,55957,41917,26407,38310,22008,14280,48892,16384,27500,38745,38160,17025,26118,15479,45306,34606,51193,78732,32262,13047,19715,67292,74417,95950,21969,19655,17993,28743,37326,145135,28420,27854,33153,40014,132226,47310,170968,47087,55492,34548,53032,47477,56487,73986,26240,19460,41976,30208,58579,40391,30261,26469,35236,84226,39909,75121,41777,56752,663702,82396,195684,109164,30508,45589,56787,11763,28408,21235,11688,17812,11930,93138,356642,23739,23532,15081,33714,66696,34306,12717,11975,23691,25065,23048,48401,42078,82996,25113,38454,51503,33970,44741,131053,23556,34919,15228,50623,32899,66384,23417,24433,69008,30186,49603,92279,47324,23721,37263,147296,27124,38813,88447,20606,33197,9399,29203,20144,63955,6933,29588,40842,18282,310233,38496,25633,9598,154073,45817,17659,21061,16114,69816,31721,37803,16420,21728,47264,20638,46353,34130,105357,61527,50470,41263,39599,66190,214918,16651,25780,34640,30831,58061,44476,60140,52206,50218,68582,80868,46009,99701,46590,31409,104892,25115,103739,55439,21049,36444,144016,29018,32021,53854,52691,130612,79722,87798,25023,69072,71749,81283,37207,65917,51000,91458,24502,78098,210539,42269,68002,57012,106610,287102,25568,12461,38797,30750,31443,75445,24226,36131,36348,43253,124433,566659,429874,26155,278604,141029,77766,104039,182850,11423,102707,111869,34206,119827,31603,25642,61382,60264,31886,57739,28145,15918,61738,846329,64804,42564,176062,41872,64916,194922,52340,10140,103491,124521,177836,24844,93676,16512,73646,51503,36272,107550,51372,25079,146923,78356,77097,7240,153169,208685,111890,220097,13103,129548,35598,1429058,28173,114688,26156,30282,14560,27889,8292,20130,46437,45945,53993,26599,25163,20646,61504,124920,35455,28724,34448,77269,44470,34945,73299,47659,128213,48230,35244,16104,621811,25532,124460,38543,23915,72005,38632,61226,46531,170871
"6",6,126902,150882,86386,61037,30511,41216,24620,16600,53706,18232,30960,40748,40554,18749,28659,18415,47889,37990,80209,86647,36723,14985,23666,72583,82673,100048,26049,23978,19446,38639,43717,193256,31253,35152,35341,46285,134314,49834,173717,63289,57298,42339,63981,83994,67478,91166,29307,22981,50160,33339,72213,44139,33278,31523,38158,89395,44622,85225,49843,79872,666643,87745,297083,129349,36490,50036,61611,14009,34175,25489,13815,19999,12654,94729,359237,36254,25697,16947,36751,76727,37566,14845,13293,29340,28233,25204,54098,46500,85690,27095,46823,61247,43131,47925,140506,24791,42445,21746,101903,37794,82757,37213,44993,102656,33759,54700,95783,57477,27344,43225,177187,30561,44325,106262,30412,35421,10601,34172,24006,65960,7742,34116,43644,21234,313003,42092,27683,10120,183252,52271,20738,41842,18201,84865,35027,44697,19791,24264,53925,24710,48767,46917,119307,65998,55852,50143,43982,85671,233982,18867,29695,39896,31054,88720,49826,74612,55682,59971,75151,133345,52067,102764,59348,33602,117708,27246,140411,66386,24668,43323,154039,30976,40389,73833,58378,133373,85425,105871,31373,133137,81486,104285,50982,70086,54401,100219,35891,86341,214931,52565,70279,60691,113977,291307,31319,13494,45806,35429,35994,77803,27111,39363,45033,45542,170308,569244,431728,31418,287946,142495,112746,118964,186479,13035,109758,202904,38518,132159,35525,38465,63654,73279,38352,64527,32708,18880,73221,851253,84264,50659,236022,46789,71791,226475,59614,11339,104750,146861,184547,25143,98220,18786,81215,57327,42515,122533,54100,28635,147079,87116,82313,7990,187215,255967,149338,228113,14367,134532,41534,1431458,33675,130594,31602,32039,16853,31208,9108,21954,60420,48136,58355,28849,27395,22966,76932,137674,39136,33899,48620,179656,55004,41408,222357,59748,129582,52938,38396,17745,625283,28818,172012,41127,27721,94997,50976,63787,58569,174191
"7",7,143312,177548,105039,67013,47839,57149,36602,23688,65866,25816,40518,61787,46641,25598,38417,32723,58577,48527,92731,112075,53983,20108,34362,91330,97685,159430,43745,34651,27375,46071,58219,199892,45421,43475,50187,55673,148795,61653,206271,82088,64616,56408,75176,97874,90829,120774,41351,32023,61313,54032,91250,57713,58453,47791,46949,97948,57924,106974,64320,92166,682678,100410,323535,141168,57267,69306,85609,16084,47033,31366,17336,22051,16367,100146,1873639,43915,39038,23840,51159,113196,47594,24790,20995,32990,38226,35539,72355,51475,104049,29471,58526,75280,48091,57125,154978,31294,53581,27073,133726,50873,97844,45355,53476,122059,42190,75045,96895,104754,51531,52470,180295,219281,55506,120191,42986,48279,12235,53910,39758,75592,18752,39140,53365,31699,328164,52001,43814,12285,198654,70088,31539,54286,30364,105450,46240,66245,27022,31913,65505,37161,60265,75557,129056,86040,78036,70069,58082,93486,252222,31989,49191,51976,43361,95693,68286,100085,58783,79203,86514,150966,75516,145609,72862,48084,132388,40681,171565,76797,39846,56018,165951,43898,74533,96049,65700,160987,211211,125224,60591,155861,126861,136698,69664,80592,68321,118806,48850,109989,223443,78087,80281,84889,126883,296701,36681,15583,61635,45686,55955,107105,187902,46883,61866,66373,180969,571921,440231,58780,299404,152216,134496,125085,194436,28315,129293,232043,51357,142631,50157,52406,84724,97086,48735,79250,46127,28832,83233,872751,101960,70370,258922,57573,111204,245224,75440,13480,137426,177859,230491,30685,100355,23278,95268,64591,56796,140331,68495,63064,170375,112774,108795,9452,210815,293960,194892,297807,16920,145455,55325,1452098,43945,148333,51967,52835,22730,40329,10324,28406,84429,72817,73326,36549,42339,27844,91343,148962,46386,52160,63601,191445,79929,63583,286521,88215,178306,74855,56094,35920,749499,41650,239603,50656,34832,137719,65409,66759,68932,179278
"8",8,169224,209410,167211,71149,78473,76885,52527,35656,82868,35544,66129,94953,69059,34165,40933,35911,83369,67502,116802,131081,88674,38878,51674,124943,101337,163719,166793,53589,35383,68415,68624,212139,61058,65818,67990,70663,174373,72631,254163,104295,72227,59368,101725,112927,120789,139927,54162,47628,79804,85892,124941,65582,77671,64284,64125,116210,82059,137651,72765,113274,716278,132740,364395,191626,73766,143669,99833,29871,74363,45280,25399,23342,25221,119154,1892437,47048,50445,28375,60809,147140,58187,26677,34337,39275,55164,57627,112308,65661,146963,76289,74607,99133,68280,83284,192630,55268,68157,33632,192374,98852,129606,70040,75067,149185,57622,103906,98959,115699,60746,73830,237787,226098,84135,133998,54767,55825,17793,93731,72767,100609,35998,41497,79219,49403,342170,63119,62148,13613,229715,100327,48076,68412,87497,114983,56338,99532,40234,45812,82750,43459,73341,102086,138544,122418,104358,95663,94130,138354,276160,38403,80140,92064,79613,138688,91508,147492,78923,103226,94187,184111,112797,186606,92574,93283,153599,60750,206913,82860,49552,113950,184605,78481,120597,125887,84212,167642,231858,172724,100387,222091,159935,279982,107407,109269,92542,137414,75162,139728,255099,114419,94337,114115,164011,308053,38968,19870,82413,68222,91778,141222,225563,51284,93106,72356,240483,592800,451771,75532,312533,175185,155774,187462,209801,52703,132810,259727,66261,161800,69495,62987,100070,124287,70924,104715,61267,59700,110886,898465,134787,86069,290007,85017,168869,288608,101682,17616,155463,230333,290949,50466,111595,32443,114276,115260,81707,188529,85187,86227,300365,142828,163228,11684,246210,392025,227171,312615,21351,156058,64813,1505344,59099,194281,72155,101073,32711,55765,12184,38726,111463,88481,92690,51751,62489,44707,121212,179032,49738,77783,112880,219677,102888,114213,360649,142939,203945,107466,77957,49966,767165,56909,315298,63057,70533,206161,88466,127556,81311,184496
"9",9,174669,220002,175328,78469,85353,82592,56161,38874,88011,39232,70690,98354,73405,37581,45781,39300,88398,71379,120809,137022,92707,42148,55283,129511,105594,168698,172817,58880,40475,78143,73716,216051,64857,68878,70573,74495,178404,81697,259800,108833,78720,65457,104963,115949,129225,157145,58114,53346,89680,91132,129804,69306,83876,69939,67887,121025,91614,148271,76000,118518,720761,140397,369801,201740,78752,148900,110906,33964,77973,48974,28837,27846,29509,123843,1896319,55454,56807,33456,65386,151989,61073,30606,37918,46028,59716,61537,115043,70175,150998,81746,78399,103890,73401,86437,196848,59110,71669,39906,198929,102186,133143,73449,78820,152681,61113,108729,108647,121727,63981,78478,244710,230576,89559,138231,60434,59630,21226,97323,76641,107026,38781,48196,82673,57725,345444,67797,66923,17817,235818,104383,53610,73164,91778,118995,61286,103754,44799,49178,86739,47696,78604,107210,148961,128295,108597,101377,98510,146437,280072,42785,85460,96128,85471,145844,97328,156452,82281,112891,102524,187618,118307,196109,102690,96124,157771,64945,214251,87271,54988,120674,195211,85099,124794,131019,91429,175707,237474,183949,106181,226820,174185,288062,111554,114554,95718,140371,80877,143689,272139,119409,99114,119008,167667,311346,44017,23325,101919,73402,95914,147031,229848,56228,103875,76634,243728,595110,456480,81130,322987,178692,160368,192914,212801,58329,136861,264429,71277,167339,81560,66818,108173,131917,74277,108394,66215,66273,113828,904214,167301,91384,296836,89040,176174,293715,105904,20980,170538,234512,304409,66809,116923,37053,121906,119461,87264,195899,93581,91573,307052,146829,172365,14478,257151,406455,231500,316039,25791,166004,85259,1508745,66115,201676,76813,105875,38598,60688,16432,43127,115851,93866,97138,55583,67100,47803,128297,182702,65089,82632,116842,223702,108112,119494,365670,152519,209000,113558,81708,57367,776644,60610,328515,66762,73791,213546,94314,130479,85271,215443
"10",10,179700,225178,186500,83677,89585,93131,59927,45057,92024,43632,74771,109151,76815,43049,49095,41653,91510,78543,124225,141769,98024,44697,60370,137164,111123,173772,176673,62643,45302,81848,77006,222975,71050,71987,74889,79575,183049,86090,265074,112249,82944,74067,109412,126639,132956,164142,62774,58217,93873,96316,134350,75537,89735,74920,71353,124194,97522,152463,79820,126665,724720,152006,379017,207167,84829,157734,120410,37571,84169,54317,32288,33889,38981,133962,1902653,62643,61806,37621,75097,155380,65512,36900,42624,49940,65852,65453,120477,75437,158259,85388,82838,115319,83406,89668,200991,62174,78973,44477,205859,106801,138132,77011,83698,163968,67189,114100,112279,127346,80530,82793,248615,234493,93861,141575,63907,63273,25026,104213,80626,148448,42474,51661,86657,60777,348188,73166,74854,21353,242540,111495,57596,77870,95597,121738,65952,108490,47672,52355,91131,51214,82156,113659,157535,133991,115673,106710,101958,151366,283197,46573,95192,99640,93130,150804,105348,159540,87006,116868,105401,195705,125261,205333,109288,105474,165937,74756,219876,93494,62716,126545,198179,91882,133418,134302,94300,190506,241802,189829,109540,233501,178926,295947,118410,121991,100935,144032,84337,149844,276059,125086,103224,126091,172524,367189,59880,26230,117434,76223,103519,162399,234987,59827,108662,84452,248406,598062,459819,87525,328883,183632,166714,207591,216080,61733,140596,269554,76205,172054,90287,71673,112794,136438,77812,112282,71313,71309,129044,909623,174251,95889,300700,92273,182515,299283,112185,23861,183214,238741,312042,78785,119811,50139,136017,125494,91120,208785,99025,99384,372549,155853,181343,18921,261678,431471,257444,319142,29279,170668,89254,1516455,70329,205111,82618,112186,42624,64585,18476,46418,123321,98897,101436,60399,72035,52191,134344,190108,73504,95937,120919,228566,113330,124322,390205,159233,228622,117651,87188,60490,780187,66363,358323,70234,80492,227175,99156,133401,88451,230979
