Subject,Gender,Age,Race,Eth.Ori,Education,Spite,SSES,SRPS,SJS,Vignettes,Content,Justification,Realism,Justification_overall_timing,agreement_overall_timing,sexual_timing_justification,non_sexual_timing_justification,agreement_sexual_timing,agreement_non_sexual_timing
1,3,24,1,2,4,50,38,3.748251748,5,1,Sex,5,4,6.7244,1.3196,6.7126,6.7362,1.6486,0.9906
1,3,24,1,2,4,50,38,3.748251748,5,2,Sex,4,4,6.7244,1.3196,6.7126,6.7362,1.6486,0.9906
1,3,24,1,2,4,50,38,3.748251748,5,3,No_Sex,1,4,6.7244,1.3196,6.7126,6.7362,1.6486,0.9906
1,3,24,1,2,4,50,38,3.748251748,5,4,Sex,1,2,6.7244,1.3196,6.7126,6.7362,1.6486,0.9906
1,3,24,1,2,4,50,38,3.748251748,5,5,No_Sex,1,2,6.7244,1.3196,6.7126,6.7362,1.6486,0.9906
1,3,24,1,2,4,50,38,3.748251748,5,6,No_Sex,5,4,6.7244,1.3196,6.7126,6.7362,1.6486,0.9906
1,3,24,1,2,4,50,38,3.748251748,5,7,Sex,1,1,6.7244,1.3196,6.7126,6.7362,1.6486,0.9906
1,3,24,1,2,4,50,38,3.748251748,5,8,No_Sex,1,5,6.7244,1.3196,6.7126,6.7362,1.6486,0.9906
1,3,24,1,2,4,50,38,3.748251748,5,9,No_Sex,5,3,6.7244,1.3196,6.7126,6.7362,1.6486,0.9906
1,3,24,1,2,4,50,38,3.748251748,5,10,Sex,3,4,6.7244,1.3196,6.7126,6.7362,1.6486,0.9906
2,1,18,1,2,4,36,40,2.520979021,13,1,Sex,5,4,15.9614,1.0097,15.551,16.3718,0.9878,1.0316
2,1,18,1,2,4,36,40,2.520979021,13,2,Sex,4,2,15.9614,1.0097,15.551,16.3718,0.9878,1.0316
2,1,18,1,2,4,36,40,2.520979021,13,3,No_Sex,1,1,15.9614,1.0097,15.551,16.3718,0.9878,1.0316
2,1,18,1,2,4,36,40,2.520979021,13,4,Sex,1,4,15.9614,1.0097,15.551,16.3718,0.9878,1.0316
2,1,18,1,2,4,36,40,2.520979021,13,5,No_Sex,2,4,15.9614,1.0097,15.551,16.3718,0.9878,1.0316
2,1,18,1,2,4,36,40,2.520979021,13,6,No_Sex,4,3,15.9614,1.0097,15.551,16.3718,0.9878,1.0316
2,1,18,1,2,4,36,40,2.520979021,13,7,Sex,4,2,15.9614,1.0097,15.551,16.3718,0.9878,1.0316
2,1,18,1,2,4,36,40,2.520979021,13,8,No_Sex,4,5,15.9614,1.0097,15.551,16.3718,0.9878,1.0316
2,1,18,1,2,4,36,40,2.520979021,13,9,No_Sex,1,4,15.9614,1.0097,15.551,16.3718,0.9878,1.0316
2,1,18,1,2,4,36,40,2.520979021,13,10,Sex,4,5,15.9614,1.0097,15.551,16.3718,0.9878,1.0316
3,1,23,1,3,4,32,40,2.636363636,3,1,Sex,5,4,11.8483,1.1834,15.75,7.9466,1.3102,1.0566
3,1,23,1,3,4,32,40,2.636363636,3,2,Sex,2,2,11.8483,1.1834,15.75,7.9466,1.3102,1.0566
3,1,23,1,3,4,32,40,2.636363636,3,3,No_Sex,1,2,11.8483,1.1834,15.75,7.9466,1.3102,1.0566
3,1,23,1,3,4,32,40,2.636363636,3,4,Sex,1,3,11.8483,1.1834,15.75,7.9466,1.3102,1.0566
3,1,23,1,3,4,32,40,2.636363636,3,5,No_Sex,1,4,11.8483,1.1834,15.75,7.9466,1.3102,1.0566
