,Participants,Timing...First.Click.55,Timing...First.Click.56,Timing...First.Click.57,Timing...First.Click.58,Timing...First.Click.59,Timing...First.Click.60,Timing...First.Click.61,Timing...First.Click.62,Timing...First.Click.63,Timing...First.Click.64,Timing...First.Click.65,Timing...First.Click.66,Timing...First.Click.67,Timing...First.Click.68,Timing...First.Click.69,Timing...First.Click.70,Timing...First.Click.71,Timing...First.Click.72,Timing...First.Click.73,Timing...First.Click.74,Timing...First.Click.75,Justification_overall_timing,agreement_overall_timing,sexual_timing_justification,non_sexual_timing_justification,agreement_sexual_timing,agreement_non_sexual_timing
1,1,0.8,11.476,2.139,6.365,1.562,9.625,1.957,7.093,2.574,6.267,1.192,5.54,0.612,3.565,1.315,4.897,0.581,7.352,0.611,5.064,0.653,6.7244,1.3196,6.7126,6.7362,1.6486,0.9906
2,2,3.694,25.01,2.083,12.516,1.074,15.526,0.706,10.296,0.566,14.739,2.682,10.163,0.396,13.791,0.684,14.702,0.792,26.729,0.582,16.142,0.532,15.9614,1.0097,15.551,16.3718,0.9878,1.0316
3,3,1.989,19.191,1.754,12.912,0.942,13.338,1.308,10.071,0.928,15.615,0.982,9.247,1.118,24.245,1.672,1.49,1.058,0.043,0.817,12.331,1.255,11.8483,1.1834,15.75,7.9466,1.3102,1.0566
4,4,4.273,21.252,2.587,17.499,4.804,19.13,1.928,15.681,2.234,24.311,1.603,11.204,1.518,19.285,1.258,12.381,1.781,13.27,2.193,14.639,1.193,16.8652,2.1099,17.6712,16.0592,2.4152,1.8046
5,5,4.519,16.432,2.714,14.866,2.069,13.118,2.161,10.755,2.936,17.442,1.798,13.726,3.048,17.285,0.902,22.32,2.586,15.692,1.825,9.394,1.853,15.103,2.1892,13.7464,16.4596,2.0948,2.2836
6,6,5.42,33.266,3.231,14.995,1.72,12.635,2.055,8.707,2.145,22.595,1.711,8.467,2.056,13.356,1.626,15.554,2.565,9.595,1.128,8.607,1.894,14.7777,2.0131,15.7862,13.7692,2.1232,1.903
7,7,5.953,20.146,2.561,18.506,1.588,16.394,0.9,11.151,1.279,11.761,0.8,14.968,1.665,14.943,1.094,14.706,1.234,9.778,2.113,14.626,1.502,14.6979,1.4736,15.8744,13.5214,1.6048,1.3424
8,8,0.388,1.338,2.185,0.753,1.176,0.295,0.503,0.567,1.452,0.395,1.476,0.601,0.59,0.512,0.709,0.186,0.57,1.481,0.201,6.671,0.333,1.2799,0.9195,1.9682,0.5916,1.171,0.668
9,9,3.675,19.228,1.76,18.817,2.092,19.144,1.397,2.737,1.166,14.169,0.958,10.017,0.889,2.076,0.979,18.028,1.257,14.54,0.914,1.184,1.905,11.994,1.3317,8.8084,15.1796,1.5804,1.083
10,10,2.285,22.426,2.377,17.891,3.505,16.055,1.809,10.446,2.658,13.958,1.536,13.372,1.759,11.326,2.624,11.339,1.662,15.016,1.821,12.68,1.485,14.4509,2.1236,14.9538,13.948,2.5298,1.7174
