,Timing...First.Click.55,Timing...First.Click.56,Timing...First.Click.57,Timing...First.Click.58,Timing...First.Click.59,Timing...First.Click.60,Timing...First.Click.61,Timing...First.Click.62,Timing...First.Click.63,Timing...First.Click.64,Timing...First.Click.65,Timing...First.Click.66,Timing...First.Click.67,Timing...First.Click.68,Timing...First.Click.69,Timing...First.Click.70,Timing...First.Click.71,Timing...First.Click.72,Timing...First.Click.73,Timing...First.Click.74,Timing...First.Click.75
3,0.8,11.476,2.139,6.365,1.562,9.625,1.957,7.093,2.574,6.267,1.192,5.54,0.612,3.565,1.315,4.897,0.581,7.352,0.611,5.064,0.653
4,3.694,25.01,2.083,12.516,1.074,15.526,0.706,10.296,0.566,14.739,2.682,10.163,0.396,13.791,0.684,14.702,0.792,26.729,0.582,16.142,0.532
5,1.989,19.191,1.754,12.912,0.942,13.338,1.308,10.071,0.928,15.615,0.982,9.247,1.118,24.245,1.672,1.49,1.058,0.043,0.817,12.331,1.255
6,4.273,21.252,2.587,17.499,4.804,19.13,1.928,15.681,2.234,24.311,1.603,11.204,1.518,19.285,1.258,12.381,1.781,13.27,2.193,14.639,1.193
7,4.519,16.432,2.714,14.866,2.069,13.118,2.161,10.755,2.936,17.442,1.798,13.726,3.048,17.285,0.902,22.32,2.586,15.692,1.825,9.394,1.853
8,5.42,33.266,3.231,14.995,1.72,12.635,2.055,8.707,2.145,22.595,1.711,8.467,2.056,13.356,1.626,15.554,2.565,9.595,1.128,8.607,1.894
9,5.953,20.146,2.561,18.506,1.588,16.394,0.9,11.151,1.279,11.761,0.8,14.968,1.665,14.943,1.094,14.706,1.234,9.778,2.113,14.626,1.502
10,0.388,1.338,2.185,0.753,1.176,0.295,0.503,0.567,1.452,0.395,1.476,0.601,0.59,0.512,0.709,0.186,0.57,1.481,0.201,6.671,0.333
11,3.675,19.228,1.76,18.817,2.092,19.144,1.397,2.737,1.166,14.169,0.958,10.017,0.889,2.076,0.979,18.028,1.257,14.54,0.914,1.184,1.905
12,2.285,22.426,2.377,17.891,3.505,16.055,1.809,10.446,2.658,13.958,1.536,13.372,1.759,11.326,2.624,11.339,1.662,15.016,1.821,12.68,1.485
13,3.784,27.301,2.42,20.267,1.862,25.256,2.301,14.737,2.877,13.235,2.882,14.357,1.623,20.124,1.933,13.27,1.712,12.963,1.898,14.273,2.172
14,3.514,20.535,2.367,19.908,1.767,5.097,0.945,4.373,0.418,21.176,1.471,0.944,1.405,19.454,1.268,16.45,0.942,1.336,0.727,15.711,1.431
15,1.194,40.585,2.423,11.615,0.96,6.981,5.135,0.589,1.326,2.959,1.69,13.075,0.506,0.742,1.268,1.064,0.51,85.845,22.135,6.976,1.735
16,3.47,48.559,3.456,0.194,0.502,12.844,0.604,0.134,0.578,16.2,0.56,2.866,0.415,16.88,2.521,0.349,1.066,14.874,0.081,0.595,2.455
17,4.85,23.177,2.362,19.239,2.267,20.154,1.359,13.049,1.79,13.829,0.67,18.61,1.381,27.691,1.1,26.318,1.22,14.135,5.674,19.472,0.605
18,6.484,25.949,3.062,25.035,2.54,25.314,1.33,14.049,1.836,13.171,1.464,14.775,1.738,23.686,1.771,16.782,1.008,21.319,2.488,15.607,1.196
19,0.867,26.3,7.269,26.543,3.615,44.555,3.104,19.236,1.903,13.521,3.247,9.794,2.438,1.848,2.006,19.962,1.413,17.22,2.824,13.955,1.681
20,3.149,1.428,3.036,17.465,1.632,19.803,9.258,12.849,1.578,28.559,0.527,19.269,0.655,48.498,0.342,10.879,0.543,12.418,0.852,13.526,1.065
21,3.648,34.015,2.407,17.851,1.269,18.862,1.477,12.048,2.013,11.979,0.963,13.232,2.249,27.8,1.235,23.096,1.231,10.394,1.539,17.804,1.067
22,3.042,1.765,3.902,7.656,1.571,0.978,3.837,5.049,2.049,0.964,2.182,1.478,2.22,18.168,1.722,10.877,2.168,22.53,2.221,3.978,2.321
23,4.763,23.099,3.07,17.919,2.845,14.937,3.276,9.502,1.412,14.031,1.72,8.463,1.19,12.737,2.694,20.623,1.422,12.685,1.062,14.688,1.342
24,2.322,26.242,4.785,29.266,8.511,17.428,0.915,22.602,1.076,16.804,0.523,21.956,0.898,38.051,0.782,9.433,1.737,10.169,5.99,19.835,1.172
25,5.677,35.795,2.461,26.76,1.387,29.098,2.638,16.534,1.543,17.158,2.033,19.905,1.256,25.778,2.086,19.094,0.815,19.295,0.587,26.059,1.34
26,4.145,26.137,6.069,21.712,4.158,19.434,2.744,14.859,2.315,14.729,1.463,26.279,3.626,23.898,2.225,23.035,2.639,16.311,0.966,16.724,1.783
27,4.567,30.264,2.706,23.275,2.377,24.328,2.685,14.415,1.931,14.386,1.077,21.88,0.501,46.485,1.286,42.561,1.302,10.397,2.052,18.393,0.625
28,10.073,33.201,2.464,18.934,2.655,32.685,2.46,15.79,1.143,16.323,1.295,14.041,1.614,25.328,2.892,26.434,2.02,16.94,0.475,22.724,0.482
29,3.802,33.363,3.853,41.968,3.396,20.025,2.819,32.419,1.085,17.757,1.75,15.54,4.121,26.614,1.019,20.556,0.479,15.939,1.017,24.224,2.592
30,6.361,30.321,4.998,2.875,1.604,2.703,1.152,17.661,1.355,15.712,1.169,13.572,0.675,2.688,1.492,16.219,0.68,18.337,0.873,2.307,0.876
31,4.361,34.247,4.6,16.299,1.301,32.494,1.785,15.383,2.396,13.19,0.998,14.093,0.829,20.046,0.89,82.719,0.852,10.394,0.924,16.9,0.8
32,8.162,38.31,4.187,45.971,3.756,40.693,3.139,20.682,2.071,35.956,1.434,23.133,1.777,25.274,4.053,25.515,1.75,27.625,1.687,31.655,2.13
33,4.348,5.847,1.913,17.343,0.53,1.219,0.385,84.601,0.712,5.29,0.787,1.28,0.523,0.694,0.528,4.463,1.017,0.507,0.987,1.102,0.791
34,6.352,30.707,2.293,15.759,1.218,22.557,1.367,9.883,1.2,27.861,0.853,19.746,0.627,23.204,1.478,92.656,1.349,31.04,0.596,13.986,1.675
35,3.79,22.711,2.436,21.615,1.828,26.523,3.945,12.778,1.963,51.198,0.626,14.843,1.846,20.217,1.82,38.93,1.11,14.807,1.667,20.091,0.944
36,3.994,28.261,3.054,19.307,3.331,24.277,1.18,22.391,2.309,15.582,1.018,21.431,2.247,28.501,1.714,17.158,0.808,12.229,0.936,18.386,2.259
37,6.316,44.145,4.63,22.806,1.56,33.971,2.586,24.239,1.73,47.773,1.043,26.898,0.954,35.709,2.455,31.373,1.398,13.238,2.203,31.612,1.426
38,4.278,5.36,2.866,5.738,1.775,37.843,0.877,9.827,1.934,16.306,1.83,18.643,0.594,12.043,2.277,38.014,1.557,10.551,1.036,13.836,1.562
39,3.1,22.24,2.6,20.082,2.298,27.282,0.8,14.169,4.217,15.955,0.846,14.779,2.187,21.545,2.731,20.027,2.943,229.458,3.21,13.466,1.135
40,3.664,28.465,2.378,24.429,0.956,17.064,2.399,19.809,0.819,35.088,0.597,21.06,0.664,19.855,0.821,18.071,1.217,10.661,0.56,15.818,0.806
41,6.433,33.931,3.252,35.016,4.361,32.148,0.988,18.593,1.107,37.201,1.045,34.362,1.116,14.252,1.255,42.897,1.087,27.486,1.822,36.845,0.768
42,7.623,34.302,3.338,29.177,3.871,35.132,3.085,18.661,2.051,29.825,3.664,30.008,1.248,26.169,1.625,59.724,1.733,14.938,1.023,25.374,2.673
43,3.454,13.346,1.481,2.147,1.825,1.896,2.087,11.842,2.416,15.653,1.116,80.1,1.38,4.143,1.184,10.792,1.641,7.116,4.045,30.8,1.841
44,5.066,35.403,5.259,24.307,1.495,25.023,1.938,18.945,1.825,31.401,2.669,13.244,1.338,25.947,0.858,23.116,0.499,19.759,0.67,19.568,0.7
45,7.202,50.219,5.873,30.364,2.419,46.182,1.384,22.301,1.053,26.105,0.74,19.931,0.533,41.367,2.09,26.88,1.068,28.852,1.196,35.594,0.965
46,1.857,6.041,1.216,1.493,1.174,2.192,1.05,27.587,1.157,11.307,1.07,33.441,0.916,21.553,1.101,2.754,1.581,1.137,2.775,12.359,1.737
47,4.5,31.3,2.3,27.6,4.4,26.4,2.5,16.2,6.1,16.1,2.4,19.7,1.9,20,1.6,22,1.2,26.2,2.9,183.5,1.8
48,6.158,51.431,4.551,25.32,3.128,31.097,26.254,15.073,1.436,20.953,1.48,17.939,0.818,35.051,2.218,18.939,1.318,37.985,1.586,23.572,1.291
49,7.568,63.52,2.933,37.502,2.265,43.319,3.002,32.543,2.607,27.766,1.152,30.055,1.757,36.601,2.501,37.11,1.081,29.111,1.545,31.939,0.702
50,5.117,42.74,3.221,38.831,2.216,33.325,2.302,20.004,1.874,20.658,1.133,23.283,0.679,30.908,2.119,26.648,1.498,23.495,0.89,28.515,1.246
51,10.324,59.944,6.475,21.374,2.496,7.318,0.74,1.352,0.766,4.595,2.876,8.438,2.404,2.116,1.482,1.248,1.098,1.192,2.065,0.886,1.942
52,5.077,36.522,9.308,5.652,1.349,3.657,1.318,25.012,1.886,19.697,1.696,13.951,0.887,50.868,0.75,1.848,1.631,25.363,1.331,29.229,0.646
53,6.691,8.384,3.783,39.347,0.67,63.272,1.568,26.064,1.926,30.559,1.675,17.956,1.244,13.448,1.064,46.417,0.489,31.992,0.409,24.185,0.535
54,6.601,88.282,2.965,41.239,2.5,23.499,7.059,29.431,2.858,18.786,2.176,41.444,0.837,56.698,6.25,56.085,0.847,29.895,6.074,30.569,2.15
55,80.194,15.1,2.216,19.38,1.72,15.173,2.27,11.767,1.113,15.782,0.62,8.1,0.944,21.094,0.553,3.238,0.505,11.265,1.268,2.158,0.426
56,5.416,39.487,3.783,2.134,2.199,2.241,0.995,1.709,2.073,1.829,1.376,1.255,0.747,1.61,1.17,1.308,2.124,1.539,1.99,2.171,0.766
57,10.145,75.296,4.702,57.385,1.923,26.043,1.081,22.441,0.982,16.277,0.728,31.288,8.212,51.967,2.191,57.949,0.764,38.58,1.164,29.767,1.791
58,3.545,65.028,5.279,49.529,2.149,20.774,1.92,13.446,1.471,6.958,4.72,20.001,0.973,1.096,1.693,1.474,1.649,1.864,0.903,16.498,1.66
59,9.328,35.543,3.393,23.318,2.884,28.249,2.314,18.076,2.434,24.62,2.918,36.401,2.515,29.224,3.549,142.157,1.933,16.195,1.867,23.535,2.879
60,1.079,134.928,5.721,17.23,2.42,4.946,2.011,10.041,1.188,28.234,0.829,5.956,0.71,19.786,0.705,55.816,2.735,54.39,8.459,10.989,2.263
61,3.62,25.678,4.695,45.643,1.79,14.478,1.105,9.484,1.286,12.726,2.382,154.051,0.736,1.439,0.748,26.776,0.699,17.678,0.641,27.174,0.544
62,6.723,16.616,4.586,10.108,5.219,35.994,3.713,21.769,2.376,19.05,2.52,21.18,0.986,26.406,1.121,25.568,1.2,21.796,0.653,21.855,3.762
63,6.726,111.633,5.371,39.257,2.531,65.816,0.98,18.254,1.498,84.651,1.47,23.993,0.496,13.842,6.245,66.66,0.842,35.855,1.394,15.459,2.665
64,3.116,9.764,2.51,24.637,2.124,50.156,1.575,8.203,1.889,6.007,2.213,21.011,1.43,13.602,14.935,8.481,0.857,8.308,1.543,14.989,0.567
65,5.329,23.478,3.314,15.34,1.133,20.38,2.742,24.283,1.166,40.428,1.748,9.547,1.003,22.167,2.619,22.184,0.975,13.567,1.298,51.018,0.841
66,7.361,99.601,4.773,33.987,0.956,5.998,1.763,42.55,1.231,3.246,1.655,17.033,3.123,25.624,1.524,22.764,1.46,43.576,1.923,20.669,1.163
67,4.338,4.288,2.135,30.186,1.45,12.588,25.021,27.352,2.051,9.626,2.058,12.851,1.717,16.853,1.412,3.7,5.819,10.609,1.383,6.276,0.596
68,4.115,31.511,12.964,24.233,3.141,1.406,6.018,0.942,0.803,0.627,1.504,0.621,0.728,0.868,1.375,4.005,0.902,1.063,1.881,0.783,2.301
69,7.616,1.736,9.058,20.287,2.932,38.751,6.888,19.632,4.051,4.259,3.593,1.678,1.476,1.861,2.885,19.085,3.692,1.613,3.2,1.287,2.156
70,6.866,43.006,3.014,33.941,9.972,19.437,2.338,15.923,2.67,44.13,2.321,27.978,2.012,29.66,3.142,23.483,2.668,28.585,3.222,27.89,5.507
71,3.346,74.82,2.224,15.87,1.337,45.234,2.828,56.856,0.719,14.648,0.561,78.015,1.623,45.641,1.47,20.437,1.3,113.993,2.015,61.447,0.777
72,15.028,103.253,6.594,43.018,3.332,29.863,2.373,20.78,3.16,48.453,2.255,32.109,2.136,26.906,2.697,41.689,4.529,24.947,3.655,25.013,2.143
73,7.486,48.242,6.673,53.456,2.497,30.724,4.495,24.293,2.015,18.688,2.359,51.444,2.858,31.416,2.501,42.841,4.166,22.475,1.379,24.542,3.597
74,11.645,58.898,3.053,17.819,2.648,31.579,3.88,16.495,3.782,24.006,2.122,41.361,1.757,52.227,2.421,37.356,1.3,22.467,1.986,30.124,3.683
75,4.613,97.775,4.23,25.747,2.176,84.64,1.951,28.85,1.769,151.615,1.836,14.726,1.78,29.599,1.539,22.871,1.155,19.604,0.818,17.521,1.725
76,11.805,49.908,7.224,13.633,5.629,34.233,5.218,25.355,2.713,22.133,1.404,37.26,1.536,29.761,1.658,47.247,1.57,21.297,2.232,36.874,3.296
77,8.411,20.25,3.896,1.674,3.304,1.444,2.601,388.714,33.114,7.006,3.912,36.072,2.053,1.532,1.323,1.383,1.062,32.096,2.209,1.383,0.966
78,21.378,4.591,3.02,6.988,2.005,4.968,15.818,3.654,2.046,4.258,10.504,7.117,1.601,17.416,1.616,3.963,1.307,22.206,0.859,3.707,1.396
79,13.821,53.995,3.353,2.144,2.631,5.615,1.875,3.927,1.451,27.952,2.216,27.193,0.754,39.237,0.831,39.192,0.846,28.85,1.571,45.144,1.131
80,5.19,42.464,4.884,34.16,2.273,37.697,2.493,29.327,1.635,19.945,1.924,19.116,1.414,61.771,0.602,31.479,1.988,23.024,1.34,28.447,3.43
81,10.749,44.436,2.895,35.948,0.949,34.218,0.882,19.095,0.574,57.027,0.72,36.173,0.428,28.707,0.82,34.639,0.516,18.099,0.75,77.733,1.412
82,5.967,34.704,5.564,28.022,3.165,27.919,1.992,16.688,2.146,24.671,1.468,19.486,1.677,16.211,2.573,15.789,2.264,13.944,3.001,18.811,2.219
