"","X","Justification_overall_timing","agreement_overall_timing","sexual_timing_justification","non_sexual_timing_justification","agreement_sexual_timing","agreement_non_sexual_timing"
"1",1,6.7244,1.3196,6.7126,6.7362,1.6486,0.9906
"1.1",1,6.7244,1.3196,6.7126,6.7362,1.6486,0.9906
"1.2",1,6.7244,1.3196,6.7126,6.7362,1.6486,0.9906
"1.3",1,6.7244,1.3196,6.7126,6.7362,1.6486,0.9906
"1.4",1,6.7244,1.3196,6.7126,6.7362,1.6486,0.9906
"1.5",1,6.7244,1.3196,6.7126,6.7362,1.6486,0.9906
"1.6",1,6.7244,1.3196,6.7126,6.7362,1.6486,0.9906
"1.7",1,6.7244,1.3196,6.7126,6.7362,1.6486,0.9906
"1.8",1,6.7244,1.3196,6.7126,6.7362,1.6486,0.9906
"1.9",1,6.7244,1.3196,6.7126,6.7362,1.6486,0.9906
"2",2,15.9614,1.0097,15.551,16.3718,0.9878,1.0316
"2.1",2,15.9614,1.0097,15.551,16.3718,0.9878,1.0316
"2.2",2,15.9614,1.0097,15.551,16.3718,0.9878,1.0316
"2.3",2,15.9614,1.0097,15.551,16.3718,0.9878,1.0316
"2.4",2,15.9614,1.0097,15.551,16.3718,0.9878,1.0316
"2.5",2,15.9614,1.0097,15.551,16.3718,0.9878,1.0316
"2.6",2,15.9614,1.0097,15.551,16.3718,0.9878,1.0316
"2.7",2,15.9614,1.0097,15.551,16.3718,0.9878,1.0316
"2.8",2,15.9614,1.0097,15.551,16.3718,0.9878,1.0316
"2.9",2,15.9614,1.0097,15.551,16.3718,0.9878,1.0316
"3",3,11.8483,1.1834,15.75,7.9466,1.3102,1.0566
"3.1",3,11.8483,1.1834,15.75,7.9466,1.3102,1.0566
"3.2",3,11.8483,1.1834,15.75,7.9466,1.3102,1.0566
"3.3",3,11.8483,1.1834,15.75,7.9466,1.3102,1.0566
"3.4",3,11.8483,1.1834,15.75,7.9466,1.3102,1.0566
"3.5",3,11.8483,1.1834,15.75,7.9466,1.3102,1.0566
"3.6",3,11.8483,1.1834,15.75,7.9466,1.3102,1.0566
"3.7",3,11.8483,1.1834,15.75,7.9466,1.3102,1.0566
"3.8",3,11.8483,1.1834,15.75,7.9466,1.3102,1.0566
"3.9",3,11.8483,1.1834,15.75,7.9466,1.3102,1.0566
"4",4,16.8652,2.1099,17.6712,16.0592,2.4152,1.8046
"4.1",4,16.8652,2.1099,17.6712,16.0592,2.4152,1.8046
"4.2",4,16.8652,2.1099,17.6712,16.0592,2.4152,1.8046
"4.3",4,16.8652,2.1099,17.6712,16.0592,2.4152,1.8046
"4.4",4,16.8652,2.1099,17.6712,16.0592,2.4152,1.8046
"4.5",4,16.8652,2.1099,17.6712,16.0592,2.4152,1.8046
"4.6",4,16.8652,2.1099,17.6712,16.0592,2.4152,1.8046
"4.7",4,16.8652,2.1099,17.6712,16.0592,2.4152,1.8046
"4.8",4,16.8652,2.1099,17.6712,16.0592,2.4152,1.8046
"4.9",4,16.8652,2.1099,17.6712,16.0592,2.4152,1.8046
"5",5,15.103,2.1892,13.7464,16.4596,2.0948,2.2836
"5.1",5,15.103,2.1892,13.7464,16.4596,2.0948,2.2836
"5.2",5,15.103,2.1892,13.7464,16.4596,2.0948,2.2836
"5.3",5,15.103,2.1892,13.7464,16.4596,2.0948,2.2836
"5.4",5,15.103,2.1892,13.7464,16.4596,2.0948,2.2836
"5.5",5,15.103,2.1892,13.7464,16.4596,2.0948,2.2836
"5.6",5,15.103,2.1892,13.7464,16.4596,2.0948,2.2836
"5.7",5,15.103,2.1892,13.7464,16.4596,2.0948,2.2836
"5.8",5,15.103,2.1892,13.7464,16.4596,2.0948,2.2836
"5.9",5,15.103,2.1892,13.7464,16.4596,2.0948,2.2836
"6",6,14.7777,2.0131,15.7862,13.7692,2.1232,1.903
"6.1",6,14.7777,2.0131,15.7862,13.7692,2.1232,1.903
"6.2",6,14.7777,2.0131,15.7862,13.7692,2.1232,1.903
"6.3",6,14.7777,2.0131,15.7862,13.7692,2.1232,1.903
"6.4",6,14.7777,2.0131,15.7862,13.7692,2.1232,1.903
"6.5",6,14.7777,2.0131,15.7862,13.7692,2.1232,1.903
"6.6",6,14.7777,2.0131,15.7862,13.7692,2.1232,1.903
"6.7",6,14.7777,2.0131,15.7862,13.7692,2.1232,1.903
"6.8",6,14.7777,2.0131,15.7862,13.7692,2.1232,1.903
"6.9",6,14.7777,2.0131,15.7862,13.7692,2.1232,1.903
"7",7,14.6979,1.4736,15.8744,13.5214,1.6048,1.3424
"7.1",7,14.6979,1.4736,15.8744,13.5214,1.6048,1.3424
"7.2",7,14.6979,1.4736,15.8744,13.5214,1.6048,1.3424
"7.3",7,14.6979,1.4736,15.8744,13.5214,1.6048,1.3424
"7.4",7,14.6979,1.4736,15.8744,13.5214,1.6048,1.3424
"7.5",7,14.6979,1.4736,15.8744,13.5214,1.6048,1.3424
"7.6",7,14.6979,1.4736,15.8744,13.5214,1.6048,1.3424
"7.7",7,14.6979,1.4736,15.8744,13.5214,1.6048,1.3424
"7.8",7,14.6979,1.4736,15.8744,13.5214,1.6048,1.3424
"7.9",7,14.6979,1.4736,15.8744,13.5214,1.6048,1.3424
"8",8,1.2799,0.9195,1.9682,0.5916,1.171,0.668
"8.1",8,1.2799,0.9195,1.9682,0.5916,1.171,0.668
"8.2",8,1.2799,0.9195,1.9682,0.5916,1.171,0.668
"8.3",8,1.2799,0.9195,1.9682,0.5916,1.171,0.668
"8.4",8,1.2799,0.9195,1.9682,0.5916,1.171,0.668
"8.5",8,1.2799,0.9195,1.9682,0.5916,1.171,0.668
"8.6",8,1.2799,0.9195,1.9682,0.5916,1.171,0.668
"8.7",8,1.2799,0.9195,1.9682,0.5916,1.171,0.668
"8.8",8,1.2799,0.9195,1.9682,0.5916,1.171,0.668
"8.9",8,1.2799,0.9195,1.9682,0.5916,1.171,0.668
"9",9,11.994,1.3317,8.8084,15.1796,1.5804,1.083
"9.1",9,11.994,1.3317,8.8084,15.1796,1.5804,1.083
"9.2",9,11.994,1.3317,8.8084,15.1796,1.5804,1.083
"9.3",9,11.994,1.3317,8.8084,15.1796,1.5804,1.083
"9.4",9,11.994,1.3317,8.8084,15.1796,1.5804,1.083
"9.5",9,11.994,1.3317,8.8084,15.1796,1.5804,1.083
"9.6",9,11.994,1.3317,8.8084,15.1796,1.5804,1.083
"9.7",9,11.994,1.3317,8.8084,15.1796,1.5804,1.083
"9.8",9,11.994,1.3317,8.8084,15.1796,1.5804,1.083
"9.9",9,11.994,1.3317,8.8084,15.1796,1.5804,1.083
"10",10,14.4509,2.1236,14.9538,13.948,2.5298,1.7174
"10.1",10,14.4509,2.1236,14.9538,13.948,2.5298,1.7174
"10.2",10,14.4509,2.1236,14.9538,13.948,2.5298,1.7174
"10.3",10,14.4509,2.1236,14.9538,13.948,2.5298,1.7174
"10.4",10,14.4509,2.1236,14.9538,13.948,2.5298,1.7174
"10.5",10,14.4509,2.1236,14.9538,13.948,2.5298,1.7174
"10.6",10,14.4509,2.1236,14.9538,13.948,2.5298,1.7174
"10.7",10,14.4509,2.1236,14.9538,13.948,2.5298,1.7174
"10.8",10,14.4509,2.1236,14.9538,13.948,2.5298,1.7174
"10.9",10,14.4509,2.1236,14.9538,13.948,2.5298,1.7174
"11",11,17.5783,2.168,19.3404,15.8162,2.2528,2.0832
"11.1",11,17.5783,2.168,19.3404,15.8162,2.2528,2.0832
"11.2",11,17.5783,2.168,19.3404,15.8162,2.2528,2.0832
"11.3",11,17.5783,2.168,19.3404,15.8162,2.2528,2.0832
"11.4",11,17.5783,2.168,19.3404,15.8162,2.2528,2.0832
"11.5",11,17.5783,2.168,19.3404,15.8162,2.2528,2.0832
"11.6",11,17.5783,2.168,19.3404,15.8162,2.2528,2.0832
"11.7",11,17.5783,2.168,19.3404,15.8162,2.2528,2.0832
"11.8",11,17.5783,2.168,19.3404,15.8162,2.2528,2.0832
"11.9",11,17.5783,2.168,19.3404,15.8162,2.2528,2.0832
"12",12,12.4984,1.2741,15.9962,9.0006,1.4502,1.098
"12.1",12,12.4984,1.2741,15.9962,9.0006,1.4502,1.098
"12.2",12,12.4984,1.2741,15.9962,9.0006,1.4502,1.098
"12.3",12,12.4984,1.2741,15.9962,9.0006,1.4502,1.098
"12.4",12,12.4984,1.2741,15.9962,9.0006,1.4502,1.098
"12.5",12,12.4984,1.2741,15.9962,9.0006,1.4502,1.098
"12.6",12,12.4984,1.2741,15.9962,9.0006,1.4502,1.098
"12.7",12,12.4984,1.2741,15.9962,9.0006,1.4502,1.098
"12.8",12,12.4984,1.2741,15.9962,9.0006,1.4502,1.098
"12.9",12,12.4984,1.2741,15.9962,9.0006,1.4502,1.098
